MS,Mh,Man,MMS,T,Cn,Ct,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,7,BERLINGO,M1,1395.0,119.0,2730.0,1510.0,1560.0,PETROL,M,1199.0,81.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,K,DS 5,M1,1504.0,136.0,2730.0,1580.0,1610.0,PETROL,M,1598.0,121.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,K,DS 5,M1,1504.0,135.0,2730.0,1580.0,1610.0,PETROL,M,1598.0,121.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,K,DS 5,M1,1615.0,114.0,2730.0,1580.0,1610.0,DIESEL,M,1997.0,133.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,K,DS 5,M1,1503.0,100.0,2730.0,1580.0,1610.0,DIESEL,M,1560.0,88.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,K,DS 5,M1,1509.0,108.0,2730.0,1580.0,1610.0,DIESEL,M,1560.0,88.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,C4,M1,1280.0,86.0,2610.0,1540.0,1530.0,DIESEL,M,1560.0,73.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,C4,M1,1280.0,110.0,2610.0,1540.0,1530.0,PETROL,M,1199.0,96.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,C4,M1,1280.0,107.0,2610.0,1540.0,1530.0,PETROL,M,1199.0,96.0
NL,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,N,C4,M1,1315.0,113.0,2610.0,1540.0,1530.0,PETROL,M,1199.0,96.0
